year,parent,region,net_migration,region_full
2015,강원특별자치도,강릉시,-1378.0,강원특별자치도 강릉시
2015,강원특별자치도,고성군,-367.0,강원특별자치도 고성군
2015,강원특별자치도,동해시,-585.0,강원특별자치도 동해시
2015,강원특별자치도,삼척시,-1517.0,강원특별자치도 삼척시
2015,강원특별자치도,속초시,-296.0,강원특별자치도 속초시
2015,강원특별자치도,양구군,219.0,강원특별자치도 양구군
2015,강원특별자치도,양양군,-123.0,강원특별자치도 양양군
2015,강원특별자치도,영월군,-210.0,강원특별자치도 영월군
2015,강원특별자치도,원주시,776.0,강원특별자치도 원주시
2015,강원특별자치도,인제군,820.0,강원특별자치도 인제군
2015,강원특별자치도,정선군,-235.0,강원특별자치도 정선군
2015,강원특별자치도,철원군,1384.0,강원특별자치도 철원군
2015,강원특별자치도,춘천시,353.0,강원특별자치도 춘천시
2015,강원특별자치도,태백시,-440.0,강원특별자치도 태백시
2015,강원특별자치도,평창군,-167.0,강원특별자치도 평창군
2015,강원특별자치도,홍천군,-443.0,강원특별자치도 홍천군
2015,강원특별자치도,화천군,73.0,강원특별자치도 화천군
2015,강원특별자치도,횡성군,-157.0,강원특별자치도 횡성군
2015,경기도,가평군,-202.0,경기도 가평군
2015,경기도,고양시,4982.0,경기도 고양시
2015,경기도,과천시,-351.0,경기도 과천시
2015,경기도,광명시,-1374.0,경기도 광명시
2015,경기도,광주시,3758.0,경기도 광주시
2015,경기도,구리시,-242.0,경기도 구리시
2015,경기도,군포시,-98.0,경기도 군포시
2015,경기도,김포시,1872.0,경기도 김포시
2015,경기도,남양주시,3353.0,경기도 남양주시
2015,경기도,동두천시,-113.0,경기도 동두천시
2015,경기도,부천시,-2446.0,경기도 부천시
2015,경기도,성남시,-51.0,경기도 성남시
2015,경기도,수원시,3766.0,경기도 수원시
2015,경기도,시흥시,523.0,경기도 시흥시
2015,경기도,안산시,-3438.0,경기도 안산시
2015,경기도,안성시,-1026.0,경기도 안성시
2015,경기도,안양시,-1340.0,경기도 안양시
2015,경기도,양주시,337.0,경기도 양주시
2015,경기도,양평군,53.0,경기도 양평군
2015,경기도,여주시,-234.0,경기도 여주시
2015,경기도,연천군,398.0,경기도 연천군
2015,경기도,오산시,258.0,경기도 오산시
2015,경기도,용인시,2883.0,경기도 용인시
2015,경기도,의왕시,-489.0,경기도 의왕시
2015,경기도,의정부시,648.0,경기도 의정부시
2015,경기도,이천시,-915.0,경기도 이천시
2015,경기도,파주시,2995.0,경기도 파주시
2015,경기도,평택시,3533.0,경기도 평택시
2015,경기도,포천시,-329.0,경기도 포천시
2015,경기도,하남시,3734.0,경기도 하남시
2015,경기도,화성시,16717.0,경기도 화성시
2015,경상남도,거제시,3018.0,경상남도 거제시
2015,경상남도,거창군,-213.0,경상남도 거창군
2015,경상남도,고성군,-388.0,경상남도 고성군
2015,경상남도,김해시,-618.0,경상남도 김해시
2015,경상남도,남해군,-464.0,경상남도 남해군
2015,경상남도,밀양시,-518.0,경상남도 밀양시
2015,경상남도,사천시,-386.0,경상남도 사천시
2015,경상남도,산청군,-142.0,경상남도 산청군
2015,경상남도,양산시,1899.0,경상남도 양산시
2015,경상남도,의령군,-263.0,경상남도 의령군
2015,경상남도,진주시,98.0,경상남도 진주시
2015,경상남도,창녕군,-227.0,경상남도 창녕군
2015,경상남도,창원시,-3902.0,경상남도 창원시
2015,경상남도,통영시,-666.0,경상남도 통영시
2015,경상남도,하동군,146.0,경상남도 하동군
2015,경상남도,함안군,-214.0,경상남도 함안군
2015,경상남도,함양군,-238.0,경상남도 함양군
2015,경상남도,합천군,-577.0,경상남도 합천군
